Cmpd Label,Smiles,Energy(eV)
7ir,c1(cc2c(cc1)cc(cc2)C(=O)OC)C#Cc1ccc(cc1)N(C)C,3.4771
7is,c1(cc2c(cc1)cc(cc2)N(=O)=O)C#Cc1ccc(cc1)N(C)C,3.2047
7iia,c1(cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)C#Cc1ccc(cc1)N(CCF)CC,3.1447
7iid,c1(cc2c(cc1)cc(cc2)C#N)C#Cc1ccc(cc1)N(CCF)CC,3.4431
7iir,c1(cc2c(cc1)cc(cc2)C(=O)OC)C#Cc1ccc(cc1)N(CCF)CC,3.498
7iis,c1(cc2c(cc1)cc(cc2)N(=O)=O)C#Cc1ccc(cc1)N(CCF)CC,3.2365
7iiia,c1(cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)C#Cc1ccc(cc1)N(CCO)CC,3.1052
7iiid,c1(cc2c(cc1)cc(cc2)C#N)C#Cc1ccc(cc1)N(CCO)CC,3.4057
7iiir,c1(cc2c(cc1)cc(cc2)C(=O)OC)C#Cc1ccc(cc1)N(CCO)CC,3.462
7iiis,c1(cc2c(cc1)cc(cc2)N(=O)=O)C#Cc1ccc(cc1)N(CCO)CC,3.1953
7iva,c1(cc2c(cc1)cc(cc2)C(=C(C#N)C#N)C)C#Cc1ccc(cc1)N(CCF)C,3.3721
7ivd,c1(cc2c(cc1)cc(cc2)C#N)C#Cc1ccc(cc1)N(CCF)C,3.6834
7ivr,c1(cc2c(cc1)cc(cc2)C(=O)OC)C#Cc1ccc(cc1)N(CCF)C,3.7277
7ivs,c1(cc2c(cc1)cc(cc2)N(=O)=O)C#Cc1ccc(cc1)N(CCF)C,3.2512
1iie,N(c1ccc(c2ccc(cn2)C#N)cc1)(CCF)CC,3.6471
1iif,N(c1ccc(c2ccc(C#N)nc2)cc1)(CCF)CC,3.7663
1iig,N(c1ccc(c2cnc(C#N)nc2)cc1)(CCF)CC,3.6336
1iiv,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCF)CC,3.4575
1iiw,N(c1ccc(c2ccc(cn2)N(=O)=O)cc1)(CCF)CC,3.2808
1iix,N(c1ccc(c2ccc(N(=O)=O)nc2)cc1)(CCF)CC,3.4489
1iiy,N(c1ccc(c2cnc(N(=O)=O)nc2)cc1)(CCF)CC,3.5479
1iit,N(c1ccc(c2ccccc2)cc1)(CCF)CC,4.4712
1iih,N(c1ccc(c2ccccn2)cc1)(CCF)CC,4.1416
1iii,N(c1ccc(c2cccnc2)cc1)(CCF)CC,4.3723
1iij,N(c1ccc(c2cncnc2)cc1)(CCF)CC,4.2981
1iiij,N(c1ccc(c2cncnc2)cc1)(CC)CCO,4.2765
1iiid,N(c1ccc(c2ccc(cc2)C#N)cc1)(CCO)CC,3.8532
1ivd,N(c1ccc(c2ccc(cc2)C#N)cc1)(CCF)C,3.9667
1iiie,N(c1ccc(c2ccc(cn2)C#N)cc1)(CCO)CC,3.5932
1ive,N(c1ccc(c2ccc(cn2)C#N)cc1)(CCF)C,3.692
1iiif,N(c1ccc(c2ccc(C#N)nc2)cc1)(CCO)CC,3.7068
1ivf,N(c1ccc(c2ccc(C#N)nc2)cc1)(CCF)C,3.8168
1iiig,N(c1ccc(c2cnc(C#N)nc2)cc1)(CCO)CC,3.5761
1ivg,N(c1ccc(c2cnc(C#N)nc2)cc1)(CCF)C,3.6791
1iv,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(C)C,3.4472
1iiiv,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCO)CC,3.3906
1ivv,N(c1ccc(c2ccc(cc2)N(=O)=O)cc1)(CCF)C,3.519
1iw,N(c1ccc(c2ccc(cn2)N(=O)=O)cc1)(C)C,3.2586
1iiiw,N(c1ccc(c2ccc(cn2)N(=O)=O)cc1)(CCO)CC,3.2202
1ivw,N(c1ccc(c2ccc(cn2)N(=O)=O)cc1)(CCF)C,3.3271
1ix,N(c1ccc(c2ccc(N(=O)=O)nc2)cc1)(C)C,3.4298
1iiix,N(c1ccc(c2ccc(N(=O)=O)nc2)cc1)(CCO)CC,3.3817
1ivx,N(c1ccc(c2ccc(N(=O)=O)nc2)cc1)(CCF)C,3.5053
1iy,N(c1ccc(c2cnc(N(=O)=O)nc2)cc1)(C)C,3.5674
1iiiy,N(c1ccc(c2cnc(N(=O)=O)nc2)cc1)(CCO)CC,3.477
1ivy,N(c1ccc(c2cnc(N(=O)=O)nc2)cc1)(CCF)C,3.6017
